LOCAL_IDENTIFIER,)Nu,(pJ,0.W$x\,f-y:3,YyQHGbLt,ucN,!Uj,MINDSPIKE_VERSION,1d+,;NC,'uV^b,maT_r,"<(-""=dU",>23d,t[SP,CORRUCYSTIC_DENSITY
10,-3.0209871406512647,1.9162035936099795,0.028741330913671884,,2.0727407309522947,1.3012247351003208,2.0727407309522947,kristal,-0.8973496342886162,vel,0.24372209994663555,satik cyst,-1.6697951525695347,0.8899062786966997,-0.5368962732138087,
11,1.046673398939807,-0.849328690783014,-1.227384327361044,-0.849328690783014,-0.7875499074517098,-0.4192205038826295,-0.7875499074517098,silikon,-0.11085382929349646,kiv,0.3668150495361201,corrutir,2.0642780627902293,-1.8166157328029462,-0.6454514796015319,174.89045938815397
12,-3.87869346148347,3.397017606270262,0.3900209560943685,3.397017606270262,-0.6845685184139505,3.6635425984300127,-0.6845685184139505,kristal,-3.2887059097209654,tir,0.575598427452059,corruskivi,,-0.5950674874515303,-1.3131485867149486,349.58248447582895
13,-0.24366184419386386,-0.10599666610154185,-0.2666912889859105,-0.10599666610154185,0.6116836123979024,-0.16627736964945491,0.6116836123979024,karbon,-0.03926102463878983,tir,-0.7760917528711216,corro,1.2144474999850372,-0.706299660595829,0.014110469520130745,171.67045200508645
14,1.0838273255771003,-0.9046423534829666,,-0.9046423534829666,0.18050003378241886,-1.0153057198163797,0.18050003378241886,kristal,0.9886614431289232,tir,1.294538247149506,pale corru,-1.9536133035877716,1.485453356608764,,41.21024379635047
15,1.4578478219041444,-1.1743825418238307,-0.10015407647995278,-1.1743825418238307,-0.9706047025978461,-0.6570622010919829,-0.9706047025978461,kristal,0.0072686093831890175,kiv,-0.877982586756561,corroyi,-0.20367375017696587,-0.82688035403986,-0.22647889190152676,332.1827750242713
16,-1.4810175216358994,0.9289820264717992,,0.9289820264717992,1.9916807032187476,0.06933377598491967,1.9916807032187476,kristal,0.6670578794474809,qou,-0.4227454010938881,corroyi,1.0029904757059347,,,475.53007678927855
17,,0.38524709337019086,-1.420380112271708,0.38524709337019086,-1.419090474484138,0.2815494152615413,-1.419090474484138,kristal,,tir,-0.2400728715445845,sfer,1.581187013155168,1.4393651843600934,,350.0181964371626
18,2.9481510729701452,-1.6786996530184397,-0.3707442202941741,,-1.7677545863115656,-1.409265214130288,-1.7677545863115656,karbon,1.522559695594356,vel,-0.13170025385990994,corro,0.020692582854259692,-0.5914882570709169,1.1891727831050025,116.87614437464018
19,-1.1558450115656642,1.0421146023673487,-0.8049895316886274,1.0421146023673487,1.9734139321107875,-0.17483670077096264,1.9734139321107875,,1.588548483916036,vel,-0.1719420637822501,satik cyst,-1.1028743391637321,-1.2274104910258719,0.5140941104844946,55.772740732883925
20,-1.1337165914757916,-0.2454074883381403,-0.030263057596985755,-0.2454074883381403,2.6389428503412455,-0.6412768041409371,2.6389428503412455,kristal,0.03472175006462275,jut,-1.7240618108680354,corrutir,2.598822900074582,0.6938234538591022,1.1665283362210033,61.31607587694507
21,0.07097399854672234,-0.1922060780938697,0.012861885407609448,-0.1922060780938697,0.04690916351043517,-0.09323812857706576,0.04690916351043517,kristal,-0.13972223546433893,jut,1.7392964090893754,corro,-0.38065317223556067,0.0857131827220793,0.31675871449377097,113.50353107384723
22,-0.8522971112359055,0.36112944506515876,-0.2070339476820783,0.36112944506515876,1.429534017550257,-0.13335268951249987,1.429534017550257,karbon,0.39137938205902134,kiv,1.3510060456814557,satik cyst,-0.4781304777910494,-1.0361547728560458,-0.6268516094409847,358.44458297640597
23,0.08071902436284853,-0.10274755480224385,0.3129049964849258,-0.10274755480224385,0.20457894799413912,-0.1886016116458182,0.20457894799413912,karbon,0.22911258381895094,jut,-0.93014396603876,corroyi,-0.680020971439758,-1.0623830063801494,1.7648348662244442,147.86613606977994
24,0.12843716033493915,0.6075086209062808,0.4423589984911342,0.6075086209062808,-0.5045322686636836,0.21990346160555838,-0.5045322686636836,kristal,0.8267842641063416,kiv,,pale corru,-0.12046563971689875,0.5388824689243806,0.015096048534474528,31.579613521337194
25,-0.22068717977292293,-0.5162529420402873,-1.152451529855408,-0.5162529420402873,1.448121767292222,-0.6912394843560685,1.448121767292222,kristal,0.22237085522486166,jut,-0.030536802375997808,sfer,0.2335180195673503,0.31484049627254107,,140.17221459409922
26,1.7001865730777024,-0.2679097473961312,-2.2084451680784305,-0.2679097473961312,-1.2744989183304456,,,,1.8736334574442028,jut,0.6532247603583382,satik cyst,,-0.5278042261989558,-0.5204928349700775,856.1417897417828
27,-0.4620477569883923,0.9122483445088485,,0.9122483445088485,0.5364452655190214,0.10065528894184858,0.5364452655190214,karbon,1.2568109166591308,tir,0.1559087700408277,sfer,-0.8937297208190847,0.24299904306448455,0.36449808774948084,24.91797620660924
28,,0.2854244949669197,,0.2854244949669197,-0.4283330639425802,0.20506818647011227,-0.4283330639425802,silikon,0.1948265133482341,jut,-0.2504079935680075,satik cyst,-0.8080534290900372,-0.4983229729424129,-0.03425681910400801,86.42635908422203
29,1.299940782789042,-1.5810751717640903,1.7966814016410697,-1.5810751717640903,1.2169868206514747,-1.8239476755359745,1.2169868206514747,karbon,1.426891344259416,qou,-0.4802763625061814,sfer,0.06331298878525736,-0.40075702330703067,-1.5470221327594984,70.00514472013627
30,0.1509563826142371,0.05044395694833226,-0.4053089168240526,0.05044395694833226,,-0.7239205099766182,1.0398341179574115,kristal,1.6341624576543545,tir,-0.3833766843662218,corro,-1.265869706307778,0.5112198347884849,1.2658988660194193,103.75983163091243
31,0.058119242565946555,0.5475830403720949,-1.2901574171777577,0.5475830403720949,-0.1282538693148797,0.05420044279299023,-0.1282538693148797,karbon,0.9920065457898597,qou,-0.9182825666707642,black corru,0.9423390236734671,2.3025644673823162,,119.62068815137096
32,,0.11348754892499979,0.5500233409340319,0.11348754892499979,1.6514670831222418,-0.15611156988410052,,kristal,-0.14231388612364965,vel,-0.22335627726671484,satik cyst,-0.15376095662417805,-0.7489483208396035,0.47926879539121,221.03247120824886
33,-0.3104487219203855,0.3718849104195042,-0.2275850054696628,0.3718849104195042,0.5907422664795449,-0.07793820404849788,,kristal,0.6662117379032015,tir,-0.5755547355955789,corro,-0.06194336237218491,-1.149558805178693,-1.4929206794809793,90.03240208327868
34,-1.3657350718623154,0.36533940240217194,1.5015711256739865,0.36533940240217194,2.1689247616960405,-0.1529037786710968,2.1689247616960405,tonga,0.09351050385282883,vel,,satik cyst,-0.1469537956230071,0.8808625117737665,-1.456666733805943,310.9258298705257
35,-0.9224445593999763,0.8783665400087463,-0.9849461251170324,0.8783665400087463,0.7259803652460334,0.35705394089038106,0.7259803652460334,,0.3737479871169964,jut,0.4329729280436354,sfer,-0.11382477230747688,0.16392406359342962,-0.7426591657723782,150.5266727101003
36,1.3196053123165763,-1.2521289378497147,-0.1318999345918984,-1.2521289378497147,0.6471928588037121,-1.4922421982087741,0.6471928588037121,kristal,1.419544111261129,tir,3.2286154967039615,satik cyst,1.4983852219771507,,-0.44503546178147346,-16.419088737790453
37,-0.7151754384899282,0.02771597116126645,,0.02771597116126645,0.07445308197087896,0.5301998023576487,0.07445308197087896,kristal,-1.4776478550422005,qou,-1.7816430001096775,satik cyst,-0.45185170492864013,1.4323734731303122,-0.0029857974196657914,182.12816654044684
38,-0.446602525993845,-1.7628865798371216,-0.415002654904849,-1.7628865798371216,1.7433045484242544,-0.7416021415800198,1.7433045484242544,kristal,-2.243672708580497,qou,0.48131523006626625,,-0.3501979239735826,0.7763108349343276,0.8808000153374702,464.68401165342175
39,1.10764452438756,-0.19941430917934622,-1.07331450054619,-0.19941430917934622,-1.4036518596404233,-0.07834917009875746,-1.4036518596404233,karbon,,tirskin,,sfer,-0.6529202819711739,-0.981044458760821,-0.30578403435329105,214.83258169908885
40,-1.0304919119396452,1.0215588698980853,,1.0215588698980853,-0.6025897417540367,1.2239824033716826,,,-1.140112784742994,,0.766373391489053,corro,1.2590955318637687,-0.3899787106666041,0.7592173598582361,811.1784312040029
41,1.4959021304544198,0.8045326360225451,0.0879615586179422,0.8045326360225451,-1.4438022261170675,-0.31792773581458345,-1.4438022261170675,kristal,3.192803087359688,vel,1.132133692456975,corro,-0.31607974940378175,-0.8786680951716425,-1.7313159358110126,71.17206277323467
42,-0.12560726498699065,-1.8473688430069262,-1.411358893691444,-1.8473688430069262,1.3975950836957984,-0.8011383377643546,1.3975950836957984,,,tir,,black corru,-0.3726548464627804,-0.21674809173430795,0.46093263546890734,262.8708314706075
43,-0.24222205900529883,0.9366297861158996,1.433351894853219,0.9366297861158996,0.3262074848247615,0.04835137652697664,0.3262074848247615,karbon,1.5553303481247216,vel,-2.3066332805502094,corro,-0.6726325494844978,-0.5261220549170215,0.10402708429410254,45.83025860794998
44,-0.804238025532286,-0.011767671830347826,0.9635870307249227,-0.011767671830347826,0.1355260142327679,0.5640213698031149,0.1355260142327679,,-1.6809649782560003,qou,-0.6323449081034284,corro,0.3544538516264421,1.6138528461226553,-0.021605204429838536,251.98099803343538
45,-0.35283134058623034,0.6091084134499449,,0.6091084134499449,-0.33688224890008583,,-0.33688224890008583,,-0.0632955029338409,vel,-0.21183434164195525,,2.1328822890996433,-0.3545984474447886,,85.07273976340817
46,1.1239226074097879,-0.806151504628682,0.28351122530134537,-0.806151504628682,,-1.6596788300490728,1.2399787080837958,,2.4837294839569095,qou,0.5298909243538537,sfer,1.321060483903111,0.4381544268270207,-0.5331989341921308,257.6936404372271
47,-1.0293910136338125,0.4070383372090093,0.5860887089461126,0.4070383372090093,1.0337446447763226,0.24101003406829047,,kristal,-0.38077577092070275,kiv,,sfer,0.0436904029834978,,0.5966344521325045,
48,0.4778507383605916,-0.15312237357983904,0.10148132244834945,-0.15312237357983904,-0.6411402386461502,-0.01626410922849078,,silikon,0.05659446784244204,qou,0.9952763651221863,sfer,0.9849065900251637,2.7089373717862206,-0.01776827903028703,187.8806337192065
49,1.3433614878250464,-0.04166848701503528,-0.11375563271465602,-0.04166848701503528,-1.1060894793510618,-0.4327412885046549,-1.1060894793510618,silikon,1.6792601714108546,,,sfer,,0.01981852886641989,0.8328275048788831,115.47098048827101
50,0.9172977434076403,-0.7513608591695444,0.3228287303140504,-0.7513608591695444,-0.6122597059785113,-0.41312482261866007,-0.6122597059785113,kristal,-0.02009495122507221,kiv,,,0.45714745030069204,1.2000393716620117,0.8456370569266659,172.71546584429802
51,-0.2863773719893798,-0.1713761127404011,1.3772049955940635,-0.1713761127404011,,-0.20457535131587226,0.730807534328564,silikon,-0.11863387716632612,,0.008604346821322495,sfer,1.167964258034139,0.20213164520185362,1.5119743836381718,94.49282846516022
52,2.4099493341478526,-0.7940222393240611,-1.1919134508436364,-0.7940222393240611,-1.6122011860184151,-1.0271797064631671,-1.6122011860184151,silikon,,tirskin,2.6010430950390315,corro,-1.0549684970977635,-0.4143520788110607,-0.5501759961823629,134.68538191103778
53,1.9584650048741932,-1.3096305399028187,-0.7101390102381373,-1.3096305399028187,-1.5125479600403682,-0.7484591774146861,-1.5125479600403682,kristal,0.2627097757352561,tir,-2.331614889595864,sfer,-0.5116079700397091,0.10062392870287937,-0.35040685905619345,-42.864532276464416
54,-0.06450387725368713,0.3113073382431003,0.6767473698926514,0.3113073382431003,0.964444311582275,-0.4952259695406025,0.964444311582275,,1.5412893475312217,kiv,0.5014160313670564,corroyi,0.7855990669209946,-1.6457754263659679,-0.6542890285535136,126.19455946749832
55,2.0442436803892075,-1.538555588721948,-1.2703078948673725,-1.538555588721948,-1.246611328894891,-0.9828349604687773,-1.246611328894891,silikon,0.3416130623354624,vel,0.6373156250269623,corro,-1.312216564822558,-0.33439076415959457,-0.19276358972317278,118.26341386161846
56,0.6292085817760545,-1.0771122508476345,-1.9284267397870716,-1.0771122508476345,0.36766399056823634,-0.768734238705977,,kristal,-0.13942382309794188,tir,-0.542500902162365,corroyi,0.29282975158478664,1.6021903777957311,0.3617207773000827,108.21161895621113
57,-0.788615447310336,1.1353139612148715,0.2650730507322819,1.1353139612148715,,1.3434354016800205,-1.1307791533478886,kristal,-0.994201022272085,jut,0.046402030451678955,corro,1.0013299697080194,-1.0341097002931197,-0.08914391174112976,132.54166771811074
58,1.9193695093185021,-2.0010382277563767,1.074346179407461,-2.0010382277563767,-1.652395223264135,-0.6685902606010737,-1.652395223264135,kristal,-1.2608269741302591,kiv,-2.011144570726409,sfer,-0.04173790604517656,-0.6374534823519943,-0.5315281652548429,-5.228158109596662
59,-0.6985344821428597,0.3235328117754649,0.2926792141912781,0.3235328117754649,-0.07119486040165923,0.6157556540398043,-0.07119486040165923,kristal,-1.0632134698381615,qou,1.9516042054030152,sfer,-0.9453549244199709,1.4518279737598097,0.5922362977526918,255.04882611902642
60,-0.250773279685778,-1.098811919543588,0.04154184056389461,-1.098811919543588,-0.015362306484300592,0.15739167026977238,-0.015362306484300592,karbon,-2.608324512613489,jut,0.4583179391254417,,-1.0736928461974642,-0.7148072589914705,1.794524848392212,79.00746399575738
61,-0.6832455858271693,-0.24885407086377603,0.3780462604278832,-0.24885407086377603,0.08681247664271485,0.48431354920161335,0.08681247664271485,kristal,-1.9008351320418506,qou,0.781497239460632,,2.45987198502938,-0.8642852619405358,1.135620585491476,114.93876856879534
62,-0.16765307712180225,0.3526231223027826,0.6939069901598741,0.3526231223027826,-0.2718592388234681,,-0.2718592388234681,karbon,,tir,1.5131428483612637,corro,0.9633087754424211,-0.11372784663703756,0.8518712386524177,133.86895816000302
63,0.06273796679789952,-1.1521674527939343,-0.29540141013902943,-1.1521674527939343,-0.14867514977004787,-0.018363220902525814,-0.14867514977004787,silikon,-2.1527060156643367,vel,,sfer,0.1684609762696143,-1.0065425652796411,1.1398785611290454,55.740694516439596
64,-1.2795043101566894,1.7470340799041606,0.8993611911975615,1.7470340799041606,-1.816528887043793,2.164614837907366,-1.816528887043793,,-1.7671202808900959,vel,0.2649699071332116,satik cyst,-1.9683845011607075,-0.5454815023849204,0.992837215498699,115.01880606074202
65,-0.33203042232423635,0.318282637791269,-1.1044961286636081,0.318282637791269,,0.3131130338741908,-0.05550096515681968,kristal,-0.2273076024914219,kiv,2.9993895723750374,satik cyst,-1.4037901850028436,0.30896974668737986,0.5485066376656762,39.399925533282456
66,2.7619600351659264,-1.6643679590732412,0.3687597695123263,-1.6643679590732412,-1.6552976099629417,-1.3250931923564342,-1.6552976099629417,kristal,1.2584209819970826,jut,0.6527891942258223,black corru,,0.23753456703977885,0.8575964084820951,-98.97784876605446
67,-0.6820904529190529,0.7487975828466764,-0.2895245430657511,0.7487975828466764,-0.07381563495354904,0.6243298758602635,-0.07381563495354904,tonga,-0.2456189473262812,vel,0.3101153981771446,corruskivi,0.6056892211503977,2.0005300986779484,0.9218188735962091,157.81784660137765
68,-1.1792315358298917,1.2699893034864078,-0.18707426992272058,1.2699893034864078,0.6167827303008675,0.6447158043850335,0.6167827303008675,ERROR,0.3894492739548267,vel,-0.22836079265763917,corro,,0.23154106881380565,1.1464718774879026,178.67277203790266
69,0.6481193577001058,-0.2966320121514756,-1.5747052025402337,-0.2966320121514756,-0.052628923258061566,-0.5020315758952104,-0.052628923258061566,kristal,0.8560065281315712,jut,0.5062104225251423,,-0.058470654088831904,2.060976757573627,1.8219670292435284,113.11935554071921
70,3.603955114229288,-1.9160420254376846,-0.782541286326445,-1.9160420254376846,-2.0881577066906827,-1.7586944461151595,-2.0881577066906827,karbon,2.196024296610498,kiv,-0.0461619439699719,black corru,-0.3139521869158607,-0.7828665102974913,-0.9604469539838816,179.75357525224106
71,-1.6786404492912783,0.19060649598358642,,0.19060649598358642,1.810510101748199,0.29787904730673825,1.810510101748199,karbon,-1.348625118955112,tir,0.10777765615764831,sfer,0.15774739668577187,0.020636540357505586,-0.39547628042619937,259.4975724824665
72,2.309112259113584,-0.10270698178478999,0.6208754159067472,,,,-1.6991697682305382,kristal,,tirskin,-0.17821901256785602,corroyi,1.449413768996868,0.29916456718847856,-0.3015136445386949,116.1996068979439
73,-0.6843395241124179,0.45392975109737943,-0.6298248042464099,0.45392975109737943,0.1642022333565244,0.4735134222580889,0.1642022333565244,,-0.5191780595908481,kiv,-0.24673728055347494,satik cyst,1.4619928308683203,-0.41093507657386175,-0.08013706787980918,33.8391343799171
74,-0.6846368261143674,0.0003349800445735518,-1.1099607178062156,0.0003349800445735518,0.06320263122164327,0.5110152522359407,0.06320263122164327,kristal,-1.4721340639953153,vel,0.13484522038426608,corroyi,-1.0904441704699264,0.3575766284824105,-0.22127359729025078,253.33375154877348
75,-1.848967191870158,2.0026480857548217,-0.8267080435219253,2.0026480857548217,,,-1.163506002036413,silikon,-1.8280038366864158,jut,-0.5329263291779537,black corru,0.21188493674085845,-0.8657428290048772,0.9609763405669491,113.1748919381543
76,3.7420126498660116,-4.238740327266343,-1.194115845288369,,,-2.1516909121053978,-1.79249738851651,karbon,-1.430228293821909,qou,-0.5870734266086861,sfer,-1.2572239464878834,,0.012579652235710143,90.8445438746886
77,-1.756923371567613,1.252292212003501,0.6901877753065322,1.252292212003501,0.4089303038357949,1.2271481700048013,0.4089303038357949,kristal,-1.1873679044462033,kiv,0.45905499446742276,,0.6743809084543171,-1.0882241052509682,0.9550806220827918,-75.00874000065777
78,0.16240207849167748,-2.0535890612386547,0.7909593068519667,-2.0535890612386547,0.7971381946083154,-0.691717151588265,0.7971381946083154,,-2.4965731107718243,tir,1.1130921702567271,corro,,1.2337220930078925,0.6620882353425093,46.00422132855629
79,-0.5653898493090119,0.2658143099534723,0.06935111351005609,0.2658143099534723,0.8448652041555609,-0.026974204278532286,0.8448652041555609,kristal,0.1885723469211189,qou,1.42918252733144,pale corru,-0.5924522137470364,-0.7771532664605587,-0.5767841110527419,22.637512197402287
80,-0.9507609547086968,0.026467650328284464,1.345812068446757,0.026467650328284464,0.21353386394856078,0.6376500465694487,0.21353386394856078,karbon,-1.8512741011561937,jut,0.6688027008263827,satik cyst,0.6086669505893184,1.5761463415699608,-1.8992011334746115,245.93281203145528
81,1.1227178197550776,-1.1228567662402633,0.23376668378619425,-1.1228567662402633,-0.7863186323590129,-0.49377970946544475,-0.7863186323590129,,-0.4416851969222352,tir,1.1966672193590207,corro,,0.6545946433489966,-0.16222812017081825,237.60231911618573
82,0.21584579713749755,,,0.08845489852900223,-0.2049825262721532,,-0.2049825262721532,kristal,0.4136476197555622,qou,,corroyi,0.837489265318174,-0.31224340396615374,0.7072195733709491,91.02012964660382
83,-0.37788181350458006,-0.6602230420154251,0.39452360516187573,-0.6602230420154251,1.1078372385379296,-0.37414301666117566,1.1078372385379296,silikon,-0.790608234585765,kiv,-0.9544040505751428,black corru,0.5605292848705127,-1.1950705635150563,0.053514274313560234,72.63783250009317
84,0.31419403735578605,0.37304676430602923,-1.2700847385126517,0.37304676430602923,-0.7758259130596754,0.21811586889226695,-0.7758259130596754,karbon,0.5010171318927423,vel,-0.6875032851377786,,-2.477903509100612,0.6843606496072474,0.4904698944501049,22.91308454916305
85,0.10476616714752127,-1.0280223543284304,-0.12318409144835508,,0.7062569280007167,-0.5439495008648941,0.7062569280007167,silikon,-0.842143014491918,jut,1.318052533239847,satik cyst,0.28808051279888763,0.0829548099133515,-0.5746077637373833,74.99123000281111
86,0.004309385623243497,-1.043940899372432,-0.9914168265192252,-1.043940899372432,0.5369408191834215,,0.5369408191834215,tonga,-1.293736115461793,,-0.17991768873212505,black corru,0.3560620599720647,,-0.07393659769718912,73.53451306493379
87,-1.083980854407984,,2.2731185049115914,1.6243661496835764,-1.3331064667468062,1.720827131404713,-1.3331064667468062,tonga,-0.9936091241781602,,0.2719319514574627,corroyi,0.20573824449045716,1.5411581492560447,-0.5428526470960725,111.98731940350534
88,3.066776589084808,-2.4557365827014404,1.4404823047203754,-2.4557365827014404,-1.5500121009849601,-1.667900293966697,-1.5500121009849601,silikon,0.610161590770538,kiv,0.21502778457975127,corro,0.6410296660753392,0.3537415859516639,-1.837164236134311,271.61223395366915
89,-0.2490085342817461,-0.22147077686814742,-0.8890751812708477,,0.7380215179121588,-0.24105669698521678,0.7380215179121588,ERROR,,qou,-0.876481933830792,satik cyst,1.3033742995909956,0.41420107830749214,-0.605812633170381,110.68557773862312
90,-0.5021924693685573,,-1.9689231424160831,,0.5384339172934673,0.11363405499242575,0.5384339172934673,kristal,0.4711010187879007,vel,2.042076040143744,corro,0.10343812930810638,0.2773584619646759,-0.022278979183713316,395.8068056735885
91,0.7674858825587904,0.48292329058179506,0.48365101872887567,0.48292329058179506,-0.871814147462606,-0.08346266357068093,-0.871814147462606,kristal,1.6160421097095239,vel,0.23460830936723895,corroyi,0.018320498950954285,-0.4344029884992555,0.9843786400224737,164.13801854647244
92,-1.2781493771459098,2.247208503346278,0.645184975072912,2.247208503346278,0.2831682890681019,0.9645694789250089,0.2831682890681019,kristal,1.581385612246653,,-0.05738773646172497,corro,1.6532746383220396,,-2.6685577819233592,213.82267228249557
93,0.37523389819312375,-0.09866551943691237,,-0.09866551943691237,-0.33313534130376365,-0.110930860095543,-0.33313534130376365,kristal,0.28081294651821853,kiv,-0.5758648478723514,corroyi,-0.19445659324294698,-0.6992682565888864,1.3176831364339954,118.5711565035001
94,1.4066768232558673,-2.298175548582302,2.009735349684877,-2.298175548582302,-0.7536231259389976,-0.795868802266927,-0.7536231259389976,,-1.928212022928965,qou,1.1767945942248594,sfer,-0.0009322985912936947,-1.229600981799978,0.7236416743079859,102.53633103496051
95,-0.7748938871783729,0.4240763366426838,-0.5002332438197432,0.4240763366426838,1.6096641862027097,-0.2971912130853038,1.6096641862027097,karbon,0.8900516760147303,qou,1.8052413236521294,corro,0.8954457591136245,0.8779963259142239,,157.5991191087132
96,-0.46221023810624484,0.27790216553618585,-0.20343016534059366,0.27790216553618585,0.8378385076790666,-0.10486598568450609,0.8378385076790666,,0.4356808447814611,vel,-0.251338779026508,corro,0.6715153364333172,0.9888511303276254,-0.3085839202714347,18.46213077383418
97,0.3839546356952338,-0.08977196841330587,0.3897840014091632,-0.08977196841330587,-0.5416773687045456,0.003955101394525109,-0.5416773687045456,karbon,0.07614106477423943,jut,1.2301928638074109,pale corru,-1.5341633874990643,2.415899361160352,-1.0714917472411698,
98,0.42641314667092783,0.03874705030433612,0.45740074279174425,0.03874705030433612,-0.5812310226884476,-0.000877830875129409,-0.5812310226884476,tonga,0.3631178157512459,qou,0.41768140501724765,corruskivi,0.13897565236328388,0.09336519293159469,-0.6594268872163145,442.5838040642549
99,-0.18698165422505678,-0.19533308983322883,-0.4537155775039246,-0.19533308983322883,0.6958960720164112,-0.26491382820269793,0.6958960720164112,,0.021332982099192876,tir,0.9305151572794222,corruskivi,2.359452622486324,0.017206578314218315,0.36810138544700505,191.5964762635814
100,3.7816662217660046,-2.3586437980894464,-2.134857889139882,-2.3586437980894464,-2.108711711124931,-1.9099479616302228,-2.108711711124931,ERROR,1.7580818059174055,jut,0.8490516370035406,corroyi,0.5440137090608493,-0.34031587211013703,-1.3401180163389455,87.35021520344942
101,,0.46189069649405456,-0.5472861634747569,,0.2617358188712364,-0.013724605114702195,0.2617358188712364,karbon,0.8237060636408411,vel,-0.44900493348778375,corroyi,-0.6121800621976892,0.8721741337044586,1.2817046637016662,97.01972840873478
102,-0.423482753051466,-0.6298035328580706,-0.29506463751495376,-0.6298035328580706,1.1427806284838955,-0.356559361453525,1.1427806284838955,kristal,-0.7971786723197981,vel,-1.0753635223480746,corroyi,-0.9989875872214549,-0.7481278533740098,-0.8609489312523066,98.7298559847975
103,-2.3133736188529554,1.2645302723501364,1.152144699100599,1.2645302723501364,1.671439230130224,0.9377645852330178,1.671439230130224,kristal,-0.9636551053961526,vel,-0.28505047579026405,,-0.3034551787029422,-0.11362975236601972,0.3794722754780175,170.09689824673376
104,-2.2439942775706077,1.316564662891155,0.09357347503166455,1.316564662891155,,1.1915055951943987,1.1446254535025182,silikon,-1.3193166078134566,qou,-0.6020935443015506,corro,-0.7657768860342009,-0.043582666113152854,-0.6492354854787428,83.03647053409132
105,-0.09263438946031505,-0.10429674553051549,-0.3106633260229256,-0.10429674553051549,0.6641413513485397,-0.3175874568779631,0.6641413513485397,kristal,0.3654060868081995,jut,-0.9985915507211254,satik cyst,0.5011770062748038,0.024758371426044767,0.7642135509851081,220.86922385724083
106,-1.6073722218416107,-0.11203081597775577,-1.5550556386447552,-0.11203081597775577,1.914154807619397,0.16611952802655625,1.914154807619397,kristal,-1.625641120420016,kiv,0.4579130985539193,corroyi,-0.5909731877623535,0.9085292893935516,0.1719526302298018,41.20282101138958
107,-0.4102401298078306,0.3120911653237667,0.18111228888942987,0.3120911653237667,0.023473943880800596,0.32940766243280956,0.023473943880800596,ERROR,,tir,0.00016050740708493661,corro,1.0018704135410883,,-0.35844618930667493,403.07365654917646
108,,-0.3472961705742617,-1.081340614562169,,2.263305420424134,-0.3598083419341046,2.263305420424134,silikon,-0.7772786741571578,tir,-0.2942677963507525,corro,-0.2577855936963653,0.5010944716047825,,106.36242887768022
